iter: 1000, accuracy: 0.0358
iter: 2000, accuracy: 0.0137
iter: 3000, accuracy: 0.0174
iter: 4000, accuracy: 0.0758
iter: 5000, accuracy: 0.2924
iter: 6000, accuracy: 0.3193
iter: 7000, accuracy: 0.3834
iter: 8000, accuracy: 0.3695
iter: 9000, accuracy: 0.4004
iter: 10000, accuracy: 0.3895
iter: 11000, accuracy: 0.4042
iter: 12000, accuracy: 0.4642
iter: 13000, accuracy: 0.4215
iter: 14000, accuracy: 0.4721
iter: 15000, accuracy: 0.3909
iter: 16000, accuracy: 0.5071
iter: 17000, accuracy: 0.4724
iter: 18000, accuracy: 0.4297
iter: 19000, accuracy: 0.4742
iter: 20000, accuracy: 0.4967
iter: 21000, accuracy: 0.4913
iter: 22000, accuracy: 0.5402
iter: 23000, accuracy: 0.6682
iter: 24000, accuracy: 0.6954
iter: 25000, accuracy: 0.6987
iter: 26000, accuracy: 0.7011
iter: 27000, accuracy: 0.6998
iter: 28000, accuracy: 0.6975
iter: 29000, accuracy: 0.7002
iter: 30000, accuracy: 0.7004
