iter: 1000, accuracy: 0.0100
iter: 2000, accuracy: 0.0100
iter: 3000, accuracy: 0.0100
iter: 4000, accuracy: 0.0100
iter: 5000, accuracy: 0.0100
iter: 6000, accuracy: 0.0102
iter: 7000, accuracy: 0.0103
iter: 8000, accuracy: 0.0340
iter: 9000, accuracy: 0.0259
iter: 10000, accuracy: 0.0480
iter: 11000, accuracy: 0.0592
iter: 12000, accuracy: 0.0500
iter: 13000, accuracy: 0.0316
iter: 14000, accuracy: 0.0521
iter: 15000, accuracy: 0.0543
iter: 16000, accuracy: 0.0733
iter: 17000, accuracy: 0.0696
iter: 18000, accuracy: 0.0570
iter: 19000, accuracy: 0.0620
iter: 20000, accuracy: 0.0646
iter: 21000, accuracy: 0.0718
iter: 22000, accuracy: 0.0702
iter: 23000, accuracy: 0.0797
iter: 24000, accuracy: 0.0819
iter: 25000, accuracy: 0.0817
iter: 26000, accuracy: 0.0820
iter: 27000, accuracy: 0.0822
iter: 28000, accuracy: 0.0822
iter: 29000, accuracy: 0.0822
iter: 30000, accuracy: 0.0824
