iter: 1000, accuracy: 0.0102
iter: 2000, accuracy: 0.0100
iter: 3000, accuracy: 0.0094
iter: 4000, accuracy: 0.0168
iter: 5000, accuracy: 0.0287
iter: 6000, accuracy: 0.1726
iter: 7000, accuracy: 0.2163
iter: 8000, accuracy: 0.2117
iter: 9000, accuracy: 0.2330
iter: 10000, accuracy: 0.2749
iter: 11000, accuracy: 0.2686
iter: 12000, accuracy: 0.2842
iter: 13000, accuracy: 0.2854
iter: 14000, accuracy: 0.2922
iter: 15000, accuracy: 0.2126
iter: 16000, accuracy: 0.3772
iter: 17000, accuracy: 0.2771
iter: 18000, accuracy: 0.3236
iter: 19000, accuracy: 0.3515
iter: 20000, accuracy: 0.3785
iter: 21000, accuracy: 0.3491
iter: 22000, accuracy: 0.3634
iter: 23000, accuracy: 0.4210
iter: 24000, accuracy: 0.4166
iter: 25000, accuracy: 0.4157
iter: 26000, accuracy: 0.4098
iter: 27000, accuracy: 0.3977
iter: 28000, accuracy: 0.3973
iter: 29000, accuracy: 0.3879
iter: 30000, accuracy: 0.3869
