iter: 1000, accuracy: 0.0101
iter: 2000, accuracy: 0.0100
iter: 3000, accuracy: 0.0100
iter: 4000, accuracy: 0.0100
iter: 5000, accuracy: 0.0100
iter: 6000, accuracy: 0.0100
iter: 7000, accuracy: 0.0102
iter: 8000, accuracy: 0.0151
iter: 9000, accuracy: 0.0237
iter: 10000, accuracy: 0.0269
iter: 11000, accuracy: 0.0522
iter: 12000, accuracy: 0.0446
iter: 13000, accuracy: 0.0371
iter: 14000, accuracy: 0.0413
iter: 15000, accuracy: 0.0270
iter: 16000, accuracy: 0.0583
iter: 17000, accuracy: 0.0540
iter: 18000, accuracy: 0.0457
iter: 19000, accuracy: 0.0418
iter: 20000, accuracy: 0.0560
iter: 21000, accuracy: 0.0526
iter: 22000, accuracy: 0.0526
iter: 23000, accuracy: 0.0610
iter: 24000, accuracy: 0.0620
iter: 25000, accuracy: 0.0628
iter: 26000, accuracy: 0.0627
iter: 27000, accuracy: 0.0627
iter: 28000, accuracy: 0.0628
iter: 29000, accuracy: 0.0629
iter: 30000, accuracy: 0.0636
